1/8/2015 12:02:53 AM 42012.00200 8111.00 2.28 1163.00 44.41 39.64 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:54 AM 42012.00202 8111.00 3.80 1167.00 44.41 39.55 101.34 28.72 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:55 AM 42012.00203 8111.00 2.28 1161.00 44.41 39.81 101.34 28.68 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:56 AM 42012.00205 8111.00 3.80 1165.00 44.41 39.64 101.34 28.64 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:57 AM 42012.00206 8111.00 3.04 1162.00 44.41 39.64 101.34 28.72 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:02:59 AM 42012.00207 8111.00 3.80 1164.00 44.41 39.64 101.34 28.74 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:00 AM 42012.00209 8111.00 3.80 1166.00 44.58 39.73 101.34 28.74 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:01 AM 42012.00210 8111.00 2.28 1165.50 44.54 39.77 101.34 28.58 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:02 AM 42012.00212 8111.00 3.04 1166.00 44.58 39.73 101.34 28.64 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:04 AM 42012.00213 8111.00 2.28 1163.00 44.58 39.64 101.34 28.71 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:05 AM 42012.00214 8111.00 3.04 1165.00 44.41 39.64 101.34 28.61 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:06 AM 42012.00216 8111.00 3.04 1168.00 44.41 39.73 101.34 28.61 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:07 AM 42012.00217 8111.00 3.80 1167.00 44.41 39.64 101.34 28.72 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:08 AM 42012.00219 8111.00 3.04 1165.00 44.41 39.64 101.34 28.64 0.06 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:10 AM 42012.00220 8111.00 3.80 1163.00 44.41 39.73 101.34 28.75 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:11 AM 42012.00221 8111.00 2.28 1164.00 44.32 39.81 101.34 28.68 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:12 AM 42012.00223 8111.00 3.80 1167.00 44.32 39.64 101.34 28.64 0.05 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:13 AM 42012.00224 8111.00 2.28 1167.00 44.41 39.64 101.34 28.64 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:14 AM 42012.00226 8111.00 2.28 1164.00 44.58 39.77 101.34 28.64 0.04 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:16 AM 42012.00227 8111.00 3.80 1166.00 44.41 39.64 101.34 28.86 0.03 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:17 AM 42012.00228 8111.00 2.28 1165.00 44.45 39.64 101.34 28.63 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:18 AM 42012.00230 8111.00 3.80 1163.00 44.41 39.81 101.34 28.71 -0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:19 AM 42012.00231 8111.00 3.04 1165.00 44.45 39.64 101.34 28.74 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:20 AM 42012.00233 8111.00 3.80 1163.00 44.58 39.55 101.34 28.64 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:22 AM 42012.00234 8111.00 3.80 1167.00 44.58 39.64 101.34 28.63 0.02 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:23 AM 42012.00235 8111.00 3.80 1165.00 44.50 39.73 101.34 28.71 0.00 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:24 AM 42012.00237 8111.00 3.80 1167.00 44.32 39.68 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:25 AM 42012.00238 8111.00 3.04 1167.00 44.41 39.64 101.34 28.71 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:26 AM 42012.00240 8111.00 3.80 1161.00 44.58 39.64 101.34 28.66 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:28 AM 42012.00241 8111.00 3.04 1164.00 44.50 39.73 101.34 28.74 0.01 22 TotalConcMeas 1 1 1 1 1 
1/8/2015 12:03:29 AM 42012.00242 8111.00 3.04 1164.00 44.41 39.64 101.34 28.61 -0.01 22 TotalConcMeas 1 1 1 1 1 
