03.10.2014 18:46:43           
03.10.2014 18:48:17  41915,78353 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,16 0 StartBlockReset 1 0,00
03.10.2014 18:48:18  41915,78355 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:19  41915,78356 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,01 0 StartBlockReset 1 0,00
03.10.2014 18:48:20  41915,78357 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,05 -1  1 0,00
03.10.2014 18:48:21  41915,78358 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 33 CellOff 1 0,00
03.10.2014 18:48:22  41915,78360 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,11 33 CellOff 1 0,00
03.10.2014 18:48:23  41915,78361 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 33 CellOff 1 0,00
03.10.2014 18:48:24  41915,78362 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 33 CellOff 1 0,00
03.10.2014 18:48:25  41915,78363 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 33 CellOff 1 0,00
03.10.2014 18:48:26  41915,78364 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 33 CellOff 1 0,00
03.10.2014 18:48:27  41915,78365 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 33 CellOff 1 0,00
03.10.2014 18:48:28  41915,78367 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,17 -1  1 0,00
03.10.2014 18:48:31  41915,78370 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 -1  1 0,00
03.10.2014 18:48:32  41915,78371 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:33  41915,78372 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 0 StartBlockReset 1 0,00
03.10.2014 18:48:34  41915,78373 16042 2,6 4095 -273,06 -273,15 -660,07 0,000 1 1 0,22 0 StartBlockReset 1 0,00
03.10.2014 18:48:35  41915,78375 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,22 0 StartBlockReset 1 0,00
03.10.2014 18:48:36  41915,78376 16043 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,33 0 StartBlockReset 1 0,00
03.10.2014 18:48:37  41915,78377 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:38  41915,78378 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:39  41915,78379 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:48:40  41915,78381 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,11 0 StartBlockReset 1 0,00
03.10.2014 18:48:41  41915,78382 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:48:43  41915,78384 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 -1  1 0,00
03.10.2014 18:48:45  41915,78386 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -1,16 33 CellOff 1 0,00
03.10.2014 18:48:46  41915,78387 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:48:47  41915,78388 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:48:48  41915,78389 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:48:49  41915,78390 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 33 CellOff 1 0,00
03.10.2014 18:48:50  41915,78391 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:48:51  41915,78393 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:48:52  41915,78394 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 -1  1 0,00
03.10.2014 18:48:55  41915,78397 16026 2,6 4095 -273,15 -273,06 -660,07 0,000 1 1 -2,31 -1  1 0,00
03.10.2014 18:48:56  41915,78398 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,67 0 StartBlockReset 1 0,00
03.10.2014 18:48:57  41915,78399 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,55 0 StartBlockReset 1 0,00
03.10.2014 18:48:58  41915,78401 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,77 0 StartBlockReset 1 0,00
03.10.2014 18:48:59  41915,78402 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,77 0 StartBlockReset 1 0,00
03.10.2014 18:49:00  41915,78403 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,44 0 StartBlockReset 1 0,00
03.10.2014 18:49:01  41915,78404 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,67 0 StartBlockReset 1 0,00
03.10.2014 18:49:02  41915,78405 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,61 0 StartBlockReset 1 0,00
03.10.2014 18:49:03  41915,78407 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,67 0 StartBlockReset 1 0,00
03.10.2014 18:49:04  41915,78408 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,77 0 StartBlockReset 1 0,00
03.10.2014 18:49:05  41915,78409 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,72 0 StartBlockReset 1 0,00
03.10.2014 18:49:06  41915,78410 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,56 -1  1 0,00
03.10.2014 18:49:07  41915,78412 16039 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -1,11 33 CellOff 1 0,00
03.10.2014 18:49:08  41915,78413 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,61 33 CellOff 1 0,00
03.10.2014 18:49:09  41915,78414 16040 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,77 33 CellOff 1 0,00
03.10.2014 18:49:10  41915,78415 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,55 33 CellOff 1 0,00
03.10.2014 18:49:11  41915,78416 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 33 CellOff 1 0,00
03.10.2014 18:49:12  41915,78417 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,50 33 CellOff 1 0,00
03.10.2014 18:49:13  41915,78419 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,55 33 CellOff 1 0,00
03.10.2014 18:49:14  41915,78420 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,66 -1  1 0,00
03.10.2014 18:49:17  41915,78423 16029 2,6 4095 -273,11 -273,11 -660,07 0,000 1 1 -0,77 -1  1 0,00
03.10.2014 18:49:18  41915,78424 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:19  41915,78425 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:20  41915,78427 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:21  41915,78428 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:22  41915,78429 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:23  41915,78430 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:24  41915,78431 0 0,0 0 0,00 0,00 0,00 0,000 0 0 0,00 0 StartBlockReset 1 0,00
03.10.2014 18:49:25  41915,78432 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,39 0 StartBlockReset 1 0,00
03.10.2014 18:49:26  41915,78434 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 0 StartBlockReset 1 0,00
03.10.2014 18:49:27  41915,78435 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 0 StartBlockReset 1 0,00
03.10.2014 18:49:28  41915,78436 16037 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -1,12 -1  1 0,00
03.10.2014 18:49:29  41915,78437 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,28 33 CellOff 1 0,00
03.10.2014 18:49:30  41915,78439 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 33 CellOff 1 0,00
03.10.2014 18:49:31  41915,78440 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,22 33 CellOff 1 0,00
03.10.2014 18:49:32  41915,78441 16042 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 0,00 33 CellOff 1 0,00
03.10.2014 18:49:34  41915,78442 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,33 33 CellOff 1 0,00
03.10.2014 18:49:35  41915,78443 16041 2,6 4095 -273,15 -273,15 -660,07 0,000 1 1 -0,55 33 CellOff 1 0,00
03.10.2014 19:03:51           
